150	0.195	0
142.5	2.205	0
135	4.065	0
120	7.335	0
105	10.035	0
90	12.21	0
75	13.785	0
60	14.7	0
45	14.64	0
37.5	14.115	0
30	13.2	0
22.5	11.835	0
15	9.885	0
11.25	8.64	0
7.5	7.095	0
3.75	5.085	0
1.875	3.66	0
0	0	0
1.875	-2.145	0
3.75	-2.925	0
7.5	-3.735	0
11.25	-4.11	0
15	-4.29	0
22.5	-4.32	0
30	-4.11	0
37.5	-3.75	0
45	-3.39	0
60	-2.7	0
75	-2.1	0
90	-1.5	0
105	-0.975	0
120	-0.585	0
135	-0.33	0
142.5	-0.24	0
150	-0.195	0
1.875	0.7575	0
3.75	1.08	0
7.5	1.68	0
11.25	2.265	0
15	2.7975	0
22.5	3.7575	0
30	4.545	0
37.5	5.1825	0
45	5.625	0
60	6	0
75	5.8425	0
90	5.355	0
105	4.53	0
120	3.375	0
135	1.8675	0
142.5	0.9825	0
150	0	0
